clip_id,split,video_file,meeting_id,camera,clip_start_s,clip_end_s,video_path,thumbnail_path,rater_1_label,rater_2_label,adjudicated_label,gold_label,annotator,adjudicator,exclude_from_gold,agreement_status,notes,suggested_label,suggested_confidence,face_detected_ratio,suggestion_summary
ES2006b-C-2148.70-2151.95,dev,ES2006b-C-2148.70-2151.95-video.mp4,ES2006b,speaker_C,0.000,3.250,/Users/jorgeiv500/Documents/fer-meetings/data/raw/hf/ami_av/video_segments/original_videos/ES2006b-C-2148.70-2151.95-video.mp4,thumbnails/ES2006b-C-2148.70-2151.95.jpg,negative,,,negative,jorgeiv500,,,,,negative,0.683,1.000,convnext_tiny_emotion=negative (0.683); vit_face_expression=neutral (0.438)
ES2006d-B-805.25-810.03,dev,ES2006d-B-805.25-810.03-video.mp4,ES2006d,speaker_B,0.000,4.780,/Users/jorgeiv500/Documents/fer-meetings/data/raw/hf/ami_av/video_segments/original_videos/ES2006d-B-805.25-810.03-video.mp4,thumbnails/ES2006d-B-805.25-810.03.jpg,,,,positive,,,,,,neutral,0.812,0.000,vit_face_expression=neutral (0.812); convnext_tiny_emotion=negative (0.594)
ES2006d-D-301.52-304.79,dev,ES2006d-D-301.52-304.79-video.mp4,ES2006d,speaker_D,0.000,3.270,/Users/jorgeiv500/Documents/fer-meetings/data/raw/hf/ami_av/video_segments/original_videos/ES2006d-D-301.52-304.79-video.mp4,thumbnails/ES2006d-D-301.52-304.79.jpg,,,,negative,,,,,,negative,0.969,1.000,convnext_tiny_emotion=negative (0.969); vit_face_expression=neutral (0.878)
ES2008b-B-888.26-892.96,dev,ES2008b-B-888.26-892.96-video.mp4,ES2008b,speaker_B,0.000,4.700,/Users/jorgeiv500/Documents/fer-meetings/data/raw/hf/ami_av/video_segments/original_videos/ES2008b-B-888.26-892.96-video.mp4,thumbnails/ES2008b-B-888.26-892.96.jpg,,,,neutral,,,,,,neutral,0.825,0.000,vit_face_expression=neutral (0.825); convnext_tiny_emotion=negative (0.702)
ES2008c-B-454.21-457.31,dev,ES2008c-B-454.21-457.31-video.mp4,ES2008c,speaker_B,0.000,3.100,/Users/jorgeiv500/Documents/fer-meetings/data/raw/hf/ami_av/video_segments/original_videos/ES2008c-B-454.21-457.31-video.mp4,thumbnails/ES2008c-B-454.21-457.31.jpg,,,,negative,,,,,,negative,0.964,1.000,convnext_tiny_emotion=negative (0.964); vit_face_expression=neutral (0.934)
ES2010b-B-1041.20-1045.82,dev,ES2010b-B-1041.20-1045.82-video.mp4,ES2010b,speaker_B,0.000,4.620,/Users/jorgeiv500/Documents/fer-meetings/data/raw/hf/ami_av/video_segments/original_videos/ES2010b-B-1041.20-1045.82-video.mp4,thumbnails/ES2010b-B-1041.20-1045.82.jpg,,,,neutral,,,,,,neutral,0.880,0.667,vit_face_expression=neutral (0.880); convnext_tiny_emotion=negative (0.831)
ES2012b-A-1836.99-1841.16,dev,ES2012b-A-1836.99-1841.16-video.mp4,ES2012b,speaker_A,0.000,4.170,/Users/jorgeiv500/Documents/fer-meetings/data/raw/hf/ami_av/video_segments/original_videos/ES2012b-A-1836.99-1841.16-video.mp4,thumbnails/ES2012b-A-1836.99-1841.16.jpg,,,,neutral,,,,,,neutral,0.986,0.000,vit_face_expression=neutral (0.986); convnext_tiny_emotion=negative (0.384)
ES2012b-C-1573.98-1577.63,dev,ES2012b-C-1573.98-1577.63-video.mp4,ES2012b,speaker_C,0.000,3.650,/Users/jorgeiv500/Documents/fer-meetings/data/raw/hf/ami_av/video_segments/original_videos/ES2012b-C-1573.98-1577.63-video.mp4,thumbnails/ES2012b-C-1573.98-1577.63.jpg,,,,negative,,,,,,negative,0.749,0.333,convnext_tiny_emotion=negative (0.749); vit_face_expression=neutral (0.487)
ES2012c-A-2199.86-2204.17,dev,ES2012c-A-2199.86-2204.17-video.mp4,ES2012c,speaker_A,0.000,4.310,/Users/jorgeiv500/Documents/fer-meetings/data/raw/hf/ami_av/video_segments/original_videos/ES2012c-A-2199.86-2204.17-video.mp4,thumbnails/ES2012c-A-2199.86-2204.17.jpg,,,,negative,,,,,,negative,0.946,1.000,convnext_tiny_emotion=negative (0.946); vit_face_expression=neutral (0.927)
ES2012c-C-2172.52-2175.90,dev,ES2012c-C-2172.52-2175.90-video.mp4,ES2012c,speaker_C,0.000,3.380,/Users/jorgeiv500/Documents/fer-meetings/data/raw/hf/ami_av/video_segments/original_videos/ES2012c-C-2172.52-2175.90-video.mp4,thumbnails/ES2012c-C-2172.52-2175.90.jpg,,,,negative,,,,,,negative,0.666,1.000,convnext_tiny_emotion=negative (0.666); vit_face_expression=neutral (0.579)
ES2014b-B-536.43-539.87,dev,ES2014b-B-536.43-539.87-video.mp4,ES2014b,speaker_B,0.000,3.440,/Users/jorgeiv500/Documents/fer-meetings/data/raw/hf/ami_av/video_segments/original_videos/ES2014b-B-536.43-539.87-video.mp4,thumbnails/ES2014b-B-536.43-539.87.jpg,,,,neutral,,,,,,negative,0.640,0.000,convnext_tiny_emotion=negative (0.640); vit_face_expression=neutral (0.613)
ES2014d-D-1672.92-1677.50,dev,ES2014d-D-1672.92-1677.50-video.mp4,ES2014d,speaker_D,0.000,4.580,/Users/jorgeiv500/Documents/fer-meetings/data/raw/hf/ami_av/video_segments/original_videos/ES2014d-D-1672.92-1677.50-video.mp4,thumbnails/ES2014d-D-1672.92-1677.50.jpg,,,,neutral,,,,,,neutral,0.839,0.000,vit_face_expression=neutral (0.839); convnext_tiny_emotion=negative (0.466)
ES2014d-D-814.50-817.86,dev,ES2014d-D-814.50-817.86-video.mp4,ES2014d,speaker_D,0.000,3.360,/Users/jorgeiv500/Documents/fer-meetings/data/raw/hf/ami_av/video_segments/original_videos/ES2014d-D-814.50-817.86-video.mp4,thumbnails/ES2014d-D-814.50-817.86.jpg,,,,neutral,,,,,,neutral,0.915,0.667,vit_face_expression=neutral (0.915); convnext_tiny_emotion=negative (0.894)
IN1008-D-1371.22-1374.70,dev,IN1008-D-1371.22-1374.70-video.mp4,IN1008,speaker_D,0.000,3.480,/Users/jorgeiv500/Documents/fer-meetings/data/raw/hf/ami_av/video_segments/original_videos/IN1008-D-1371.22-1374.70-video.mp4,thumbnails/IN1008-D-1371.22-1374.70.jpg,,,,neutral,,,,,,neutral,0.873,0.333,vit_face_expression=neutral (0.873); convnext_tiny_emotion=negative (0.686)
IS1000a-B-426.42-429.49,dev,IS1000a-B-426.42-429.49-video.mp4,IS1000a,speaker_B,0.000,3.070,/Users/jorgeiv500/Documents/fer-meetings/data/raw/hf/ami_av/video_segments/original_videos/IS1000a-B-426.42-429.49-video.mp4,thumbnails/IS1000a-B-426.42-429.49.jpg,,,,neutral,,,,,,neutral,0.804,0.333,vit_face_expression=neutral (0.804); convnext_tiny_emotion=negative (0.699)
IS1000c-B-110.34-113.54,dev,IS1000c-B-110.34-113.54-video.mp4,IS1000c,speaker_B,0.000,3.200,/Users/jorgeiv500/Documents/fer-meetings/data/raw/hf/ami_av/video_segments/original_videos/IS1000c-B-110.34-113.54-video.mp4,thumbnails/IS1000c-B-110.34-113.54.jpg,,,,negative,,,,,,negative,0.853,0.667,convnext_tiny_emotion=negative (0.853); vit_face_expression=negative (0.650)
IS1000d-A-1355.46-1360.22,dev,IS1000d-A-1355.46-1360.22-video.mp4,IS1000d,speaker_A,0.000,4.760,/Users/jorgeiv500/Documents/fer-meetings/data/raw/hf/ami_av/video_segments/original_videos/IS1000d-A-1355.46-1360.22-video.mp4,thumbnails/IS1000d-A-1355.46-1360.22.jpg,,,,neutral,,,,,,neutral,0.851,0.000,vit_face_expression=neutral (0.851); convnext_tiny_emotion=negative (0.658)
IS1002b-B-2076.05-2080.59,dev,IS1002b-B-2076.05-2080.59-video.mp4,IS1002b,speaker_B,0.000,4.540,/Users/jorgeiv500/Documents/fer-meetings/data/raw/hf/ami_av/video_segments/original_videos/IS1002b-B-2076.05-2080.59-video.mp4,thumbnails/IS1002b-B-2076.05-2080.59.jpg,,,,negative,,,,,,negative,0.864,0.667,convnext_tiny_emotion=negative (0.864); vit_face_expression=neutral (0.570)
IS1002b-D-1405.12-1409.95,dev,IS1002b-D-1405.12-1409.95-video.mp4,IS1002b,speaker_D,0.000,4.830,/Users/jorgeiv500/Documents/fer-meetings/data/raw/hf/ami_av/video_segments/original_videos/IS1002b-D-1405.12-1409.95-video.mp4,thumbnails/IS1002b-D-1405.12-1409.95.jpg,,,,neutral,,,,,,neutral,0.881,0.000,vit_face_expression=neutral (0.881); convnext_tiny_emotion=negative (0.788)
IS1004c-A-1351.43-1356.14,dev,IS1004c-A-1351.43-1356.14-video.mp4,IS1004c,speaker_A,0.000,4.710,/Users/jorgeiv500/Documents/fer-meetings/data/raw/hf/ami_av/video_segments/original_videos/IS1004c-A-1351.43-1356.14-video.mp4,thumbnails/IS1004c-A-1351.43-1356.14.jpg,,,,negative,,,,,,negative,0.963,1.000,convnext_tiny_emotion=negative (0.963); vit_face_expression=neutral (0.752)
IS1004c-D-607.18-612.06,dev,IS1004c-D-607.18-612.06-video.mp4,IS1004c,speaker_D,0.000,4.880,/Users/jorgeiv500/Documents/fer-meetings/data/raw/hf/ami_av/video_segments/original_videos/IS1004c-D-607.18-612.06-video.mp4,thumbnails/IS1004c-D-607.18-612.06.jpg,,,,positive,,,,,,negative,0.978,1.000,convnext_tiny_emotion=negative (0.978); vit_face_expression=positive (0.541)
IS1004d-B-1101.56-1104.65,dev,IS1004d-B-1101.56-1104.65-video.mp4,IS1004d,speaker_B,0.000,3.090,/Users/jorgeiv500/Documents/fer-meetings/data/raw/hf/ami_av/video_segments/original_videos/IS1004d-B-1101.56-1104.65-video.mp4,thumbnails/IS1004d-B-1101.56-1104.65.jpg,,,,positive,,,,,,negative,0.952,0.667,convnext_tiny_emotion=negative (0.952); vit_face_expression=positive (0.523)
IS1004d-B-836.75-841.57,dev,IS1004d-B-836.75-841.57-video.mp4,IS1004d,speaker_B,0.000,4.820,/Users/jorgeiv500/Documents/fer-meetings/data/raw/hf/ami_av/video_segments/original_videos/IS1004d-B-836.75-841.57-video.mp4,thumbnails/IS1004d-B-836.75-841.57.jpg,negative,,,negative,jorgeiv500,,,,,negative,0.847,0.333,convnext_tiny_emotion=negative (0.847); vit_face_expression=neutral (0.770)
IS1006a-A-590.74-593.76,dev,IS1006a-A-590.74-593.76-video.mp4,IS1006a,speaker_A,0.000,3.020,/Users/jorgeiv500/Documents/fer-meetings/data/raw/hf/ami_av/video_segments/original_videos/IS1006a-A-590.74-593.76-video.mp4,thumbnails/IS1006a-A-590.74-593.76.jpg,,,,neutral,,,,,,negative,0.944,1.000,convnext_tiny_emotion=negative (0.944); vit_face_expression=neutral (0.869)
IS1006b-A-1491.34-1495.00,dev,IS1006b-A-1491.34-1495.00-video.mp4,IS1006b,speaker_A,0.000,3.660,/Users/jorgeiv500/Documents/fer-meetings/data/raw/hf/ami_av/video_segments/original_videos/IS1006b-A-1491.34-1495.00-video.mp4,thumbnails/IS1006b-A-1491.34-1495.00.jpg,,,,neutral,,,,,,neutral,0.826,0.333,vit_face_expression=neutral (0.826); convnext_tiny_emotion=negative (0.647)
IS1006c-D-567.60-572.54,dev,IS1006c-D-567.60-572.54-video.mp4,IS1006c,speaker_D,0.000,4.940,/Users/jorgeiv500/Documents/fer-meetings/data/raw/hf/ami_av/video_segments/original_videos/IS1006c-D-567.60-572.54-video.mp4,thumbnails/IS1006c-D-567.60-572.54.jpg,,,,positive,,,,,,negative,0.902,0.667,convnext_tiny_emotion=negative (0.902); vit_face_expression=neutral (0.585)
IS1006d-A-1531.94-1535.58,dev,IS1006d-A-1531.94-1535.58-video.mp4,IS1006d,speaker_A,0.000,3.640,/Users/jorgeiv500/Documents/fer-meetings/data/raw/hf/ami_av/video_segments/original_videos/IS1006d-A-1531.94-1535.58-video.mp4,thumbnails/IS1006d-A-1531.94-1535.58.jpg,,,,positive,,,,,,negative,0.742,0.333,convnext_tiny_emotion=negative (0.742); vit_face_expression=neutral (0.609)
IS1008d-B-105.76-109.92,dev,IS1008d-B-105.76-109.92-video.mp4,IS1008d,speaker_B,0.000,4.160,/Users/jorgeiv500/Documents/fer-meetings/data/raw/hf/ami_av/video_segments/original_videos/IS1008d-B-105.76-109.92-video.mp4,thumbnails/IS1008d-B-105.76-109.92.jpg,,,,positive,,,,,,neutral,0.712,0.000,vit_face_expression=neutral (0.712); convnext_tiny_emotion=negative (0.689)
TS3004a-D-1261.48-1266.00,dev,TS3004a-D-1261.48-1266.00-video.mp4,TS3004a,speaker_D,0.000,4.520,/Users/jorgeiv500/Documents/fer-meetings/data/raw/hf/ami_av/video_segments/original_videos/TS3004a-D-1261.48-1266.00-video.mp4,thumbnails/TS3004a-D-1261.48-1266.00.jpg,,,,neutral,,,,,,negative,0.826,0.667,convnext_tiny_emotion=negative (0.826); vit_face_expression=neutral (0.713)
TS3004b-A-1245.44-1249.69,dev,TS3004b-A-1245.44-1249.69-video.mp4,TS3004b,speaker_A,0.000,4.250,/Users/jorgeiv500/Documents/fer-meetings/data/raw/hf/ami_av/video_segments/original_videos/TS3004b-A-1245.44-1249.69-video.mp4,thumbnails/TS3004b-A-1245.44-1249.69.jpg,,,,neutral,,,,,,neutral,0.920,0.000,vit_face_expression=neutral (0.920); convnext_tiny_emotion=neutral (0.497)
TS3004b-D-1685.40-1688.67,dev,TS3004b-D-1685.40-1688.67-video.mp4,TS3004b,speaker_D,0.000,3.270,/Users/jorgeiv500/Documents/fer-meetings/data/raw/hf/ami_av/video_segments/original_videos/TS3004b-D-1685.40-1688.67-video.mp4,thumbnails/TS3004b-D-1685.40-1688.67.jpg,,,,neutral,,,,,,negative,0.650,0.000,convnext_tiny_emotion=negative (0.650); vit_face_expression=neutral (0.548)
TS3004d-B-516.31-519.38,dev,TS3004d-B-516.31-519.38-video.mp4,TS3004d,speaker_B,0.000,3.070,/Users/jorgeiv500/Documents/fer-meetings/data/raw/hf/ami_av/video_segments/original_videos/TS3004d-B-516.31-519.38-video.mp4,thumbnails/TS3004d-B-516.31-519.38.jpg,,,,neutral,,,,,,neutral,0.744,0.000,vit_face_expression=neutral (0.744); convnext_tiny_emotion=negative (0.581)
TS3006b-D-1576.49-1580.80,dev,TS3006b-D-1576.49-1580.80-video.mp4,TS3006b,speaker_D,0.000,4.310,/Users/jorgeiv500/Documents/fer-meetings/data/raw/hf/ami_av/video_segments/original_videos/TS3006b-D-1576.49-1580.80-video.mp4,thumbnails/TS3006b-D-1576.49-1580.80.jpg,,,,negative,,,,,,negative,0.973,1.000,convnext_tiny_emotion=negative (0.973); vit_face_expression=neutral (0.923)
TS3006c-B-966.33-969.50,dev,TS3006c-B-966.33-969.50-video.mp4,TS3006c,speaker_B,0.000,3.170,/Users/jorgeiv500/Documents/fer-meetings/data/raw/hf/ami_av/video_segments/original_videos/TS3006c-B-966.33-969.50-video.mp4,thumbnails/TS3006c-B-966.33-969.50.jpg,,,,negative,,,,,,negative,0.962,1.000,convnext_tiny_emotion=negative (0.962); vit_face_expression=neutral (0.708)
TS3008b-D-1390.31-1395.23,dev,TS3008b-D-1390.31-1395.23-video.mp4,TS3008b,speaker_D,0.000,4.920,/Users/jorgeiv500/Documents/fer-meetings/data/raw/hf/ami_av/video_segments/original_videos/TS3008b-D-1390.31-1395.23-video.mp4,thumbnails/TS3008b-D-1390.31-1395.23.jpg,,,,neutral,,,,,,neutral,0.851,0.333,vit_face_expression=neutral (0.851); convnext_tiny_emotion=negative (0.689)
TS3008c-A-1362.07-1366.90,dev,TS3008c-A-1362.07-1366.90-video.mp4,TS3008c,speaker_A,0.000,4.830,/Users/jorgeiv500/Documents/fer-meetings/data/raw/hf/ami_av/video_segments/original_videos/TS3008c-A-1362.07-1366.90-video.mp4,thumbnails/TS3008c-A-1362.07-1366.90.jpg,positive,,,positive,jorgeiv500,,,,,neutral,0.730,0.333,vit_face_expression=neutral (0.730); convnext_tiny_emotion=negative (0.602)
TS3008d-A-1053.78-1057.39,dev,TS3008d-A-1053.78-1057.39-video.mp4,TS3008d,speaker_A,0.000,3.610,/Users/jorgeiv500/Documents/fer-meetings/data/raw/hf/ami_av/video_segments/original_videos/TS3008d-A-1053.78-1057.39-video.mp4,thumbnails/TS3008d-A-1053.78-1057.39.jpg,,,,neutral,,,,,,neutral,0.708,0.000,vit_face_expression=neutral (0.708); convnext_tiny_emotion=negative (0.518)
TS3010c-B-1128.94-1133.36,dev,TS3010c-B-1128.94-1133.36-video.mp4,TS3010c,speaker_B,0.000,4.420,/Users/jorgeiv500/Documents/fer-meetings/data/raw/hf/ami_av/video_segments/original_videos/TS3010c-B-1128.94-1133.36-video.mp4,thumbnails/TS3010c-B-1128.94-1133.36.jpg,,,,positive,,,,,,negative,0.689,0.333,convnext_tiny_emotion=negative (0.689); vit_face_expression=positive (0.487)
TS3010d-B-135.76-139.80,dev,TS3010d-B-135.76-139.80-video.mp4,TS3010d,speaker_B,0.000,4.040,/Users/jorgeiv500/Documents/fer-meetings/data/raw/hf/ami_av/video_segments/original_videos/TS3010d-B-135.76-139.80-video.mp4,thumbnails/TS3010d-B-135.76-139.80.jpg,,,,neutral,,,,,,neutral,0.731,0.000,vit_face_expression=neutral (0.731); convnext_tiny_emotion=negative (0.567)
TS3012c-A-689.65-693.40,dev,TS3012c-A-689.65-693.40-video.mp4,TS3012c,speaker_A,0.000,3.750,/Users/jorgeiv500/Documents/fer-meetings/data/raw/hf/ami_av/video_segments/original_videos/TS3012c-A-689.65-693.40-video.mp4,thumbnails/TS3012c-A-689.65-693.40.jpg,neutral,,,neutral,jorgeiv500,,,,,negative,0.876,0.667,convnext_tiny_emotion=negative (0.876); vit_face_expression=neutral (0.734)
EN2001d-D-741.84-746.62,test,EN2001d-D-741.84-746.62-video.mp4,EN2001d,speaker_D,0.000,4.780,/Users/jorgeiv500/Documents/fer-meetings/data/raw/hf/ami_av/video_segments/original_videos/EN2001d-D-741.84-746.62-video.mp4,thumbnails/EN2001d-D-741.84-746.62.jpg,,,,neutral,,,,,,negative,0.968,1.000,convnext_tiny_emotion=negative (0.968); vit_face_expression=neutral (0.515)
EN2001e-B-1566.70-1571.09,test,EN2001e-B-1566.70-1571.09-video.mp4,EN2001e,speaker_B,0.000,4.390,/Users/jorgeiv500/Documents/fer-meetings/data/raw/hf/ami_av/video_segments/original_videos/EN2001e-B-1566.70-1571.09-video.mp4,thumbnails/EN2001e-B-1566.70-1571.09.jpg,,,,neutral,,,,,,neutral,0.851,0.000,vit_face_expression=neutral (0.851); convnext_tiny_emotion=negative (0.459)
EN2001e-D-1702.81-1705.93,test,EN2001e-D-1702.81-1705.93-video.mp4,EN2001e,speaker_D,0.000,3.120,/Users/jorgeiv500/Documents/fer-meetings/data/raw/hf/ami_av/video_segments/original_videos/EN2001e-D-1702.81-1705.93-video.mp4,thumbnails/EN2001e-D-1702.81-1705.93.jpg,,,,neutral,,,,,,neutral,0.890,0.667,vit_face_expression=neutral (0.890); convnext_tiny_emotion=negative (0.839)
EN2009c-C-1639.58-1642.82,test,EN2009c-C-1639.58-1642.82-video.mp4,EN2009c,speaker_C,0.000,3.240,/Users/jorgeiv500/Documents/fer-meetings/data/raw/hf/ami_av/video_segments/original_videos/EN2009c-C-1639.58-1642.82-video.mp4,thumbnails/EN2009c-C-1639.58-1642.82.jpg,,,,positive,,,,,,negative,0.690,1.000,convnext_tiny_emotion=negative (0.690); vit_face_expression=neutral (0.634)
ES2005c-D-734.19-737.70,test,ES2005c-D-734.19-737.70-video.mp4,ES2005c,speaker_D,0.000,3.510,/Users/jorgeiv500/Documents/fer-meetings/data/raw/hf/ami_av/video_segments/original_videos/ES2005c-D-734.19-737.70-video.mp4,thumbnails/ES2005c-D-734.19-737.70.jpg,,,,negative,,,,,,negative,0.973,1.000,convnext_tiny_emotion=negative (0.973); vit_face_expression=neutral (0.947)
ES2005d-C-1142.25-1146.29,test,ES2005d-C-1142.25-1146.29-video.mp4,ES2005d,speaker_C,0.000,4.040,/Users/jorgeiv500/Documents/fer-meetings/data/raw/hf/ami_av/video_segments/original_videos/ES2005d-C-1142.25-1146.29-video.mp4,thumbnails/ES2005d-C-1142.25-1146.29.jpg,negative,,,negative,jorgeiv500,,,,,negative,0.693,0.667,convnext_tiny_emotion=negative (0.693); vit_face_expression=neutral (0.619)
ES2005d-C-610.20-614.43,test,ES2005d-C-610.20-614.43-video.mp4,ES2005d,speaker_C,0.000,4.230,/Users/jorgeiv500/Documents/fer-meetings/data/raw/hf/ami_av/video_segments/original_videos/ES2005d-C-610.20-614.43-video.mp4,thumbnails/ES2005d-C-610.20-614.43.jpg,,,,neutral,,,,,,negative,0.893,1.000,convnext_tiny_emotion=negative (0.893); vit_face_expression=neutral (0.655)
ES2007b-D-266.28-270.22,test,ES2007b-D-266.28-270.22-video.mp4,ES2007b,speaker_D,0.000,3.940,/Users/jorgeiv500/Documents/fer-meetings/data/raw/hf/ami_av/video_segments/original_videos/ES2007b-D-266.28-270.22-video.mp4,thumbnails/ES2007b-D-266.28-270.22.jpg,,,,positive,,,,,,negative,0.950,1.000,convnext_tiny_emotion=negative (0.950); vit_face_expression=positive (0.656)
ES2009a-D-416.81-420.40,test,ES2009a-D-416.81-420.40-video.mp4,ES2009a,speaker_D,0.000,3.590,/Users/jorgeiv500/Documents/fer-meetings/data/raw/hf/ami_av/video_segments/original_videos/ES2009a-D-416.81-420.40-video.mp4,thumbnails/ES2009a-D-416.81-420.40.jpg,,,,neutral,,,,,,neutral,0.696,0.000,vit_face_expression=neutral (0.696); convnext_tiny_emotion=negative (0.628)
ES2011c-C-578.26-582.06,test,ES2011c-C-578.26-582.06-video.mp4,ES2011c,speaker_C,0.000,3.800,/Users/jorgeiv500/Documents/fer-meetings/data/raw/hf/ami_av/video_segments/original_videos/ES2011c-C-578.26-582.06-video.mp4,thumbnails/ES2011c-C-578.26-582.06.jpg,,,,positive,,,,,,negative,0.679,1.000,convnext_tiny_emotion=negative (0.679); vit_face_expression=neutral (0.458)
ES2013a-D-731.09-735.79,test,ES2013a-D-731.09-735.79-video.mp4,ES2013a,speaker_D,0.000,4.700,/Users/jorgeiv500/Documents/fer-meetings/data/raw/hf/ami_av/video_segments/original_videos/ES2013a-D-731.09-735.79-video.mp4,thumbnails/ES2013a-D-731.09-735.79.jpg,,,,neutral,,,,,,neutral,0.879,0.333,vit_face_expression=neutral (0.879); convnext_tiny_emotion=negative (0.621)
ES2013c-C-2185.78-2189.33,test,ES2013c-C-2185.78-2189.33-video.mp4,ES2013c,speaker_C,0.000,3.550,/Users/jorgeiv500/Documents/fer-meetings/data/raw/hf/ami_av/video_segments/original_videos/ES2013c-C-2185.78-2189.33-video.mp4,thumbnails/ES2013c-C-2185.78-2189.33.jpg,,,,positive,,,,,,negative,0.659,1.000,convnext_tiny_emotion=negative (0.659); vit_face_expression=neutral (0.453)
