clip_id,split,rater_1_label,rater_2_label,agreement_status
TS3004d-B-516.31-519.38,dev,neutral,negative,disagree
TS3006b-D-1576.49-1580.80,dev,negative,negative,agree
TS3006c-B-966.33-969.50,dev,negative,positive,disagree
TS3008b-D-1390.31-1395.23,dev,neutral,neutral,agree
TS3008c-A-1362.07-1366.90,dev,positive,positive,agree
TS3008d-A-1053.78-1057.39,dev,neutral,neutral,agree
TS3010c-B-1128.94-1133.36,dev,positive,positive,agree
TS3010d-B-135.76-139.80,dev,neutral,neutral,agree
TS3012c-A-689.65-693.40,dev,neutral,neutral,agree
EN2001d-D-741.84-746.62,test,neutral,neutral,agree
EN2001e-B-1566.70-1571.09,test,neutral,neutral,agree
EN2001e-D-1702.81-1705.93,test,neutral,neutral,agree
EN2009c-C-1639.58-1642.82,test,positive,positive,agree
ES2005c-D-734.19-737.70,test,negative,neutral,disagree
ES2005d-C-1142.25-1146.29,test,negative,negative,agree
ES2005d-C-610.20-614.43,test,neutral,neutral,agree
ES2007b-D-266.28-270.22,test,positive,positive,agree
ES2009a-D-416.81-420.40,test,neutral,neutral,agree
ES2011c-C-578.26-582.06,test,positive,positive,agree
ES2013a-D-731.09-735.79,test,neutral,negative,disagree
ES2013c-C-2185.78-2189.33,test,positive,positive,agree
ES2013c-D-747.50-750.60,test,neutral,negative,disagree
ES2013d-A-1654.56-1659.33,test,neutral,negative,disagree
ES2015a-A-975.80-979.13,test,neutral,neutral,agree
ES2015b-A-2047.04-2050.05,test,neutral,neutral,agree
ES2015c-A-1104.47-1107.99,test,neutral,negative,disagree
ES2015c-A-993.00-997.25,test,neutral,negative,disagree
ES2015c-C-1723.44-1726.45,test,neutral,neutral,agree
ES2015d-C-1390.02-1393.38,test,positive,positive,agree
IB4005-C-1553.14-1557.58,test,neutral,neutral,agree
IB4011-D-2030.74-2034.31,test,neutral,neutral,agree
IN1001-C-2312.05-2315.05,test,neutral,neutral,agree
IN1005-A-1243.41-1248.41,test,positive,positive,agree
IN1013-D-2949.30-2952.55,test,positive,positive,agree
IS1001b-A-369.49-373.07,test,neutral,neutral,agree
IS1001b-B-1406.75-1411.48,test,neutral,neutral,agree
IS1001c-A-1112.03-1116.92,test,neutral,neutral,agree
IS1007a-A-191.25-194.94,test,positive,positive,agree
IS1007b-C-1016.05-1020.03,test,positive,positive,agree
IS1007d-B-1945.44-1948.89,test,positive,positive,agree
IS1007d-B-724.13-727.22,test,positive,neutral,disagree
IS1009c-A-204.66-208.58,test,neutral,neutral,agree
IS1009c-C-1588.73-1593.44,test,neutral,neutral,agree
TS3003a-D-109.47-113.72,test,neutral,neutral,agree
TS3005b-D-1835.86-1840.68,test,negative,negative,agree
TS3005d-A-1562.96-1566.18,test,neutral,neutral,agree
TS3005d-B-639.08-642.36,test,negative,negative,agree
TS3005d-B-982.12-986.71,test,positive,neutral,disagree
TS3007d-D-992.14-996.21,test,neutral,neutral,agree
TS3009a-B-1446.40-1449.71,test,negative,neutral,disagree
TS3009b-A-1132.56-1136.53,test,neutral,neutral,agree
TS3009b-B-1647.92-1651.97,test,negative,negative,agree
TS3009c-B-1682.92-1687.70,test,negative,negative,agree
TS3009c-B-2170.86-2174.32,test,neutral,neutral,agree
TS3009c-D-1184.06-1188.77,test,negative,neutral,disagree
TS3009c-D-1354.90-1358.51,test,neutral,neutral,agree
TS3011a-C-1366.58-1370.10,test,neutral,neutral,agree
TS3011d-A-1250.46-1253.89,test,neutral,neutral,agree
TS3011d-A-951.06-954.78,test,neutral,neutral,agree
